date,state_code,state_name,total_positive,total_negative,total_tests,hospitalized_currently,total_deaths,new_positive_cases,new_negative_tests,new_deaths
2020-03-06,AK,Alaska,0.0,8.0,8.0,0.0,0.0,0,0,0
2020-03-07,AK,Alaska,0.0,12.0,12.0,0.0,0.0,0,4,0
2020-03-08,AK,Alaska,0.0,14.0,14.0,0.0,0.0,0,2,0
2020-03-09,AK,Alaska,0.0,23.0,23.0,0.0,0.0,0,9,0
2020-03-10,AK,Alaska,0.0,23.0,23.0,0.0,0.0,0,0,0
2020-03-11,AK,Alaska,0.0,46.0,46.0,0.0,0.0,0,23,0
2020-03-12,AK,Alaska,0.0,46.0,46.0,0.0,0.0,0,0,0
2020-03-13,AK,Alaska,0.0,60.0,60.0,0.0,0.0,0,14,0
2020-03-14,AK,Alaska,0.0,144.0,144.0,0.0,0.0,0,84,0
2020-03-15,AK,Alaska,0.0,144.0,144.0,0.0,0.0,0,0,0
2020-03-16,AK,Alaska,0.0,144.0,144.0,0.0,0.0,0,0,0
2020-03-17,AK,Alaska,3.0,334.0,337.0,0.0,0.0,3,190,0
2020-03-18,AK,Alaska,8.0,404.0,412.0,0.0,0.0,5,70,0
2020-03-19,AK,Alaska,11.0,427.0,438.0,0.0,0.0,3,23,0
2020-03-20,AK,Alaska,14.0,684.0,698.0,0.0,0.0,3,257,0
2020-03-21,AK,Alaska,15.0,757.0,772.0,0.0,0.0,1,73,0
2020-03-22,AK,Alaska,25.0,943.0,968.0,0.0,0.0,10,186,0
2020-03-23,AK,Alaska,38.0,930.0,968.0,0.0,0.0,13,-13,0
2020-03-24,AK,Alaska,42.0,980.0,1022.0,0.0,0.0,4,50,0
2020-03-25,AK,Alaska,49.0,1642.0,1691.0,0.0,1.0,7,662,1
2020-03-26,AK,Alaska,63.0,1797.0,1860.0,0.0,1.0,14,155,0
2020-03-27,AK,Alaska,74.0,2314.0,2388.0,0.0,1.0,11,517,0
2020-03-28,AK,Alaska,91.0,2830.0,2921.0,0.0,2.0,17,516,1
2020-03-29,AK,Alaska,110.0,3224.0,3334.0,0.0,2.0,19,394,0
2020-03-30,AK,Alaska,118.0,3536.0,3654.0,0.0,3.0,8,312,1
2020-03-31,AK,Alaska,128.0,3585.0,3713.0,0.0,3.0,10,49,0
2020-04-01,AK,Alaska,141.0,4462.0,4603.0,0.0,3.0,13,877,0
2020-04-02,AK,Alaska,149.0,4873.0,5022.0,0.0,3.0,8,411,0
2020-04-03,AK,Alaska,160.0,5856.0,6016.0,0.0,3.0,11,983,0
2020-04-04,AK,Alaska,171.0,5869.0,6040.0,0.0,5.0,11,13,2
2020-04-05,AK,Alaska,185.0,6099.0,6284.0,0.0,6.0,14,230,1
2020-04-06,AK,Alaska,191.0,6692.0,6883.0,0.0,6.0,6,593,0
2020-04-07,AK,Alaska,213.0,6700.0,6913.0,0.0,6.0,22,8,0
2020-04-08,AK,Alaska,226.0,6842.0,7068.0,0.0,7.0,13,142,1
2020-04-09,AK,Alaska,235.0,6988.0,7223.0,0.0,7.0,9,146,0
2020-04-10,AK,Alaska,246.0,7186.0,7432.0,0.0,7.0,11,198,0
2020-04-11,AK,Alaska,257.0,7475.0,7732.0,0.0,8.0,11,289,1
2020-04-12,AK,Alaska,272.0,7766.0,8038.0,0.0,8.0,15,291,0
2020-04-13,AK,Alaska,277.0,7553.0,7830.0,0.0,8.0,5,-213,0
2020-04-14,AK,Alaska,285.0,8063.0,8348.0,0.0,9.0,8,510,1
2020-04-15,AK,Alaska,293.0,8371.0,8664.0,0.0,9.0,8,308,0
2020-04-16,AK,Alaska,300.0,8435.0,8735.0,0.0,9.0,7,64,0
2020-04-17,AK,Alaska,309.0,9141.0,9450.0,0.0,9.0,9,706,0
2020-04-18,AK,Alaska,314.0,9341.0,9655.0,39.0,9.0,5,200,0
2020-04-19,AK,Alaska,319.0,9576.0,9895.0,37.0,9.0,5,235,0
2020-04-20,AK,Alaska,321.0,9803.0,10124.0,46.0,9.0,2,227,0
2020-04-21,AK,Alaska,329.0,10790.0,11119.0,42.0,9.0,8,987,0
2020-04-22,AK,Alaska,335.0,11824.0,12159.0,39.0,9.0,6,1034,0
2020-04-23,AK,Alaska,337.0,11824.0,12161.0,42.0,9.0,2,0,0
2020-04-24,AK,Alaska,339.0,11942.0,12281.0,36.0,9.0,2,118,0
2020-04-25,AK,Alaska,339.0,15393.0,15732.0,32.0,9.0,0,3451,0
2020-04-26,AK,Alaska,341.0,15836.0,16177.0,14.0,9.0,2,443,0
2020-04-27,AK,Alaska,345.0,15911.0,16256.0,10.0,9.0,4,75,0
2020-04-28,AK,Alaska,351.0,16738.0,17089.0,16.0,9.0,6,827,0
2020-04-29,AK,Alaska,355.0,18764.0,19119.0,14.0,9.0,4,2026,0
2020-04-30,AK,Alaska,355.0,18764.0,19119.0,19.0,9.0,0,0,0
2020-05-01,AK,Alaska,364.0,19961.0,20325.0,25.0,9.0,9,1197,0
2020-05-02,AK,Alaska,365.0,21034.0,21399.0,10.0,9.0,1,1073,0
2020-05-03,AK,Alaska,368.0,21210.0,21578.0,12.0,9.0,3,176,0
2020-05-04,AK,Alaska,370.0,21353.0,21723.0,12.0,9.0,2,143,0
2020-05-05,AK,Alaska,371.0,22321.0,22692.0,13.0,9.0,1,968,0
2020-05-06,AK,Alaska,372.0,23283.0,23655.0,8.0,10.0,1,962,1
2020-05-07,AK,Alaska,374.0,23967.0,24341.0,12.0,10.0,2,684,0
2020-05-08,AK,Alaska,377.0,25096.0,25473.0,16.0,10.0,3,1129,0
2020-05-09,AK,Alaska,378.0,26071.0,26449.0,8.0,10.0,1,975,0
2020-05-10,AK,Alaska,379.0,26985.0,27364.0,8.0,10.0,1,914,0
2020-05-11,AK,Alaska,381.0,28299.0,28680.0,7.0,10.0,2,1314,0
2020-05-12,AK,Alaska,383.0,29578.0,29961.0,10.0,10.0,2,1279,0
2020-05-13,AK,Alaska,384.0,30265.0,30649.0,12.0,10.0,1,687,0
2020-05-14,AK,Alaska,389.0,31373.0,31762.0,12.0,10.0,5,1108,0
2020-05-15,AK,Alaska,390.0,32028.0,32418.0,8.0,10.0,1,655,0
2020-05-16,AK,Alaska,394.0,32887.0,33281.0,10.0,10.0,4,859,0
2020-05-17,AK,Alaska,398.0,34253.0,34651.0,13.0,10.0,4,1366,0
2020-05-18,AK,Alaska,401.0,35210.0,35611.0,9.0,10.0,3,957,0
2020-05-19,AK,Alaska,401.0,35979.0,36380.0,16.0,10.0,0,769,0
2020-05-20,AK,Alaska,404.0,36641.0,37045.0,16.0,10.0,3,662,0
2020-05-21,AK,Alaska,404.0,39141.0,39545.0,19.0,10.0,0,2500,0
2020-05-22,AK,Alaska,406.0,41040.0,41446.0,15.0,10.0,2,1899,0
2020-05-23,AK,Alaska,410.0,41941.0,42351.0,10.0,10.0,4,901,0
2020-05-24,AK,Alaska,410.0,43097.0,43507.0,10.0,10.0,0,1156,0
2020-05-25,AK,Alaska,411.0,44061.0,44472.0,10.0,10.0,1,964,0
2020-05-26,AK,Alaska,413.0,44551.0,44964.0,12.0,10.0,2,490,0
2020-05-27,AK,Alaska,414.0,45949.0,46363.0,14.0,10.0,1,1398,0
2020-05-28,AK,Alaska,427.0,47543.0,47970.0,10.0,10.0,13,1594,0
2020-05-29,AK,Alaska,432.0,49007.0,49439.0,14.0,10.0,5,1464,0
2020-05-30,AK,Alaska,435.0,51260.0,51695.0,14.0,10.0,3,2253,0
2020-05-31,AK,Alaska,463.0,51232.0,51695.0,14.0,10.0,28,-28,0
2020-06-01,AK,Alaska,470.0,53720.0,54190.0,10.0,10.0,7,2488,0
